CBP_strain,ChrisName,LabName,Collection,Species,Soil_Type,Elevation,Lat_Degrees,Lat_Min,Lon_Degrees,Lon_Min,Date,Lat,Lon,calc_elevation,final_elevation
CBP-1642,CK301B-5,CK3O1B-5,CK3O1,atrophaeus,Opuntia,5767,36,15.1,117,6.591,26-May-10,36.25166667,-117.10985,5808.1,5767
CBP-1645,CK303A-2m,CK3O3A-2m,CK3O3,atrophaeus,Opuntia,5880,36,15.055,117,6.419,26-May-10,36.25091667,-117.1069833,5892.3,5880
CBP-1646,CK303A-4,CK3O3A-4,CK3O3,atrophaeus,Opuntia,5880,36,15.055,117,6.419,26-May-10,36.25091667,-117.1069833,5892.3,5880
CBP-1649,CK3J3A-1,CK3J3A-1,CK3J3,atrophaeus,Juniper,5790,36,15.105,117,6.595,26-May-10,36.25175,-117.1099167,5803.7,5790
CBP-1650,CK4F1-1,CK4F1-1,CK4F1,atrophaeus,Free,6593,36,15.044,117,5.008,26-May-10,36.25073333,-117.0834667,6608.4,6593
CBP-1651,CK4F1-1m,CK4F1-1m,CK4F1,atrophaeus,Free,6593,36,15.044,117,5.008,26-May-10,36.25073333,-117.0834667,6608.4,6593
CBP-1652,CK4F1-2,CK4F1-2,CK4F1,atrophaeus,Free,6593,36,15.044,117,5.008,26-May-10,36.25073333,-117.0834667,6608.4,6593
CBP-1655,CK4F1-4,CK4F1-4,CK4F1,atrophaeus,Free,6593,36,15.044,117,5.008,26-May-10,36.25073333,-117.0834667,6608.4,6593
CBP-1657,CK4F3A-1,CK4F3A-1,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-1658,CK4F3A-1F,CK4F3A-1F,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-1660,CK4F3A-3,CK4F3A-3,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-1661,CK4F3A-4,CK4F3A-4,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-1662,CK4F3B-1,CK4F3B-1,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-1663,CK4F3B-1m,CK4F3B-1m,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-1664,CK4F3B-2,CK4F3B-2,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-1665,CK4F3B-3,CK4F3B-3,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-1666,CK4F3B-4,CK4F3B-4,CK4F3,atrophaeus,Free,6591,36,15.052,117,5.003,26-May-10,36.25086667,-117.0833833,6607.4,6591
CBP-1668,CK502A-1,CK5O2A-1,CK5O2,atrophaeus,Opuntia,7351,36,14.246,117,4.34,26-May-10,36.23743333,-117.0723333,7410.2,7351
CBP-1669,CK5F-2,CK5F-2,CK5F2,atrophaeus,Free,7367,36,14.239,117,4.342,26-May-10,36.23731667,-117.0723667,7412,7367
CBP-1670,CK5F-3,CK5F-3,CK5F3,atrophaeus,Free,7369,36,14.242,117,4.338,26-May-10,36.23736667,-117.0723,7414.2,7369
CBP-1671,CK5J1B-1,CK5J1B-1,CK5J1,atrophaeus,Juniper,7366,36,14.255,117,4.362,26-May-10,36.23758333,-117.0727,7394.7,7366
