Strain #,Other = #
CBP-1647,CK3J2A-1
CBP-1648,CK3J2A-1w
CBP-1641,CK301B-4
CBP-1642,CK301B-5
CBP-1645,CK303A-2m
CBP-1646,CK303A-4
CBP-1649,CK3J3A-1
CBP-1650,CK4F1-1
CBP-1651,CK4F1-1m
CBP-1652,CK4F1-2
CBP-1655,CK4F1-4
CBP-1657,CK4F3A-1
CBP-1658,CK4F3A-1F
CBP-1660,CK4F3A-3
CBP-1661,CK4F3A-4
CBP-1662,CK4F3B-1
CBP-1663,CK4F3B-1m
CBP-1653,CK4F1-3
CBP-1654,CK4F1-3f
CBP-1656,CK4F2-4
CBP-1696,WR1F3B-10
CBP-1697,WR1F3B-10m
CBP-1698,WR1F3B-11
CBP-1699,WR1F3B-11m
CBP-1700,WR1F3B-7
CBP-1701,WR1F3B-7m
CBP-1702,WR1F3B-8
CBP-1704,WR1FB-1m
CBP-1705,WR201A-1
CBP-1706,WR201A-1m
CBP-1708,WR202A-1
CBP-1709,WR202A-1m
CBP-1710,WR202A-2
CBP-1711,WR202A-3
CBP-1713,WR202B-2
CBP-1714,WR202B-2m
CBP-1715,WR202B-3
CBP-1690,TP8F4aA-5
CBP-1746,TP8F4bB-1
CBP-1691,TP8FaA-4
CBP-1692,TP8FaA-4m
CBP-1739,TP8F4aB-23
CBP-1740,TP8F4aB-25
CBP-1741,TP8F4aB-26
CBP-1742,TP8F4aB-26m
CBP-1747,TP8F4bB-10
CBP-1664,CK4F3B-2
CBP-1752,TP8F4bB-2
CBP-1665,CK4F3B-3
CBP-1760,TP8F5aB-4
CBP-1666,CK4F3B-4
CBP-1762,TP8F5bB-3
CBP-1667,CK4F4A-3
CBP-1767,TP8O1B-12
CBP-1668,CK502A-1
CBP-1768,TP8O1B-13
CBP-1669,CK5F-2
CBP-1718,WR202B-5m
CBP-1723,WR203A-3
CBP-1670,CK5F-3
CBP-1716,WR202B-4
CBP-1671,CK5J1B-1
CBP-1719,WR202B-6
CBP-1672,TP601B-3a
CBP-1720,WR202B-6m
CBP-1674,TP603B-2
CBP-1721,WR203A-1
CBP-1676,TP6F-1F
CBP-1722,WR203A-1m
CBP-3064,EC49O5B-F7
CBP-1725,WR2FB-1
CBP-1680,TP802B-4
CBP-1726,WR2FB-11a
CBP-1681,TP8F2aA-2
CBP-1727,WR2FB-1F
CBP-1682,TP8F3aB-2
CBP-1728,WR2FB-3
CBP-1684,TP8F3aB-7
CBP-1724,WR203B-5
CBP-1687,TP8F4aA-14
CBP-1729,TP8F4aB-1
CBP-1688,TP8F4aA14m
CBP-1730,TP8F4aB-10
CBP-1689,TP8F4aA-4
CBP-1731,TP8F4aB-12
CBP-1732,TP8F4aB-13
CBP-1733,TP8F4aB-15
CBP-1734,TP8F4aB-18
CBP-1737,TP8F4aB-20
CBP-1738,TP8F4aB-22
CBP-2557,T9B1
CBP-2558,T9B2
CBP-2552,T8B3
CBP-2553,T8B4
CBP-2864,B-01489
CBP-1772,TP8O1B-6
CBP-1803,TP8OB-9
CBP-1803,TP8OB-9
CBP-1769,TP8O1B-2
CBP-2462,T12B1
CBP-2554,T8C1
CBP-1797,TP8OB-3
CBP-2555,T8C3
CBP-2387,N9C20
CBP-2556,T8C4
CBP-1770,TP8O1B-4
CBP-1771,TP8O1B-5
CBP-1773,TP8O1B-7
CBP-1774,TP8O1B-8
CBP-1776,TP8O3B-15
CBP-1777,TP8O3B-8
CBP-1786,TP8OB-21
CBP-1789,TP8OB-23
CBP-1790,TP8OB-24
CBP-1791,TP8OB-24m
CBP-1792,TP8OB-25
CBP-1795,TP8OB-27
CBP-1796,TP8OB-28
CBP-1800,TP8OB-6
CBP-1801,TP8OB-7
CBP-1679,TP801A-2(b)
CBP-1753,TP8F4bB-3
CBP-1798,TP8OB-4
CBP-1804,WR1O3B-1
CBP-3075,EC30O5B-F5
CBP-1805,WR2F2B-10
CBP-1806,WR2F2B-11
CBP-1807,WR2F2B-12
CBP-1808,WR2F2B-13
CBP-1809,WR2F2B-14
CBP-1810,WR2F2B-14m
CBP-1811,WR2F2B-16
CBP-1814,WR2F2B-7
CBP-1815,WR2F2B-8
CBP-2519,T4C10
CBP-2501,T19B4
CBP-2476,T15B5
CBP-2001,N13B2
CBP-2478,T15C11
CBP-1817,WR2O1B-15
CBP-1819,S10B-2
CBP-1822,S10B-5
CBP-1823,S10C-1
CBP-1824,S10C-2
CBP-1825,S10C-3
CBP-1838,S3C-3
CBP-1843,S4B-2
CBP-1846,S4C-1
CBP-1844,S4B-4
CBP-1848,S4C-11
CBP-1851,S4C-3
CBP-1860,S5C-1
CBP-1862,S6B-2
CBP-2426,S18B3
CBP-1867,S7B-1
CBP-1880,S8C-1I
CBP-1881,S8C-1II
CBP-1883,S8C-2II
CBP-1885,S8C-4
CBP-1887,S8C-6
CBP-1890,S8C-9
CBP-1891,S9B-1
CBP-1894,S9B-4
CBP-1899,S10C11F
CBP-1900,S10C11M
CBP-1962,S16B2
CBP-1902,S10C12M
CBP-1966,S16C1
CBP-1906,S10C6F
CBP-1977,S17C2
CBP-1910,S10C9
CBP-1965,S16B5
CBP-1911,S11B1I
CBP-1975,S17C1F
CBP-1914,S11B3
CBP-1976,S17C1M
CBP-1915,S11B4
CBP-1978,S17C4
CBP-1918,S11C2
CBP-1980,S17C6
CBP-1920,S11C4
CBP-1921,S11C5F
CBP-1923,S12B1
CBP-1927,S12B5
CBP-1928,S12C1
CBP-1932,S12C5
CBP-1933,S13C1
CBP-1935,S13C2M
CBP-1939,S13C5M
CBP-1944,S14B2
CBP-1947,S14C1I
CBP-1948,S14C1II
CBP-1949,S14C2F
CBP-1950,S14C2M
CBP-1953,S15B2
CBP-1956,S15B5
CBP-1961,S15C6
CBP-1971,S17B2
CBP-3091,EC49O5B-F10*
CBP-1981,S18B1
CBP-1984,S18B4
CBP-1987,N10b1
CBP-1988,N10b2
CBP-1989,N10b3
CBP-1989,N10b3
CBP-1990,N10B3M
CBP-1941,S13C7F
CBP-1991,N10b4
CBP-1992,N10B4M
CBP-1993,N10b5
CBP-1994,N11 b1
CBP-1995,N11b2
CBP-1996,N11b3I
CBP-1997,N11b3II
CBP-1998,N11b4
CBP-1999,N11b5
CBP-2000,N13b1
CBP-2018,N1b1
CBP-2019,N1b2
CBP-2020,N1b3
CBP-2021,N1b4
CBP-2022,N1b5
CBP-2026,N2b1
CBP-2027,N2b2
CBP-2028,N5b1
CBP-2029,N5b2
CBP-2030,N5b3
CBP-2031,N5b4
CBP-2032,N5b5
CBP-2506,T20B1
CBP-2033,N6b1
CBP-2034,N6b2
CBP-2035,N6b3
CBP-2060,S20c5
CBP-2062,CK3J3B-1
CBP-2063,CK3J3B-2
CBP-2064,CK3J3B-3
CBP-2065,CK3J3B-4
CBP-2066,CK3J3B-5
CBP-2067,CK3J3B-6
CBP-2068,CK3J3B-7
CBP-2069,CK3J3B-8
CBP-2071,CK3O1B-51B
CBP-2072,CK3O1B-53B
CBP-2073,CK3O2A-10
CBP-2074,CK3O2A-11
CBP-2075,CK3O2A-13
CBP-2076,CK3O2A-2
CBP-2077,CK3O2A-4
CBP-2078,CK3O2A-7
CBP-2079,CK3O2B-51A
CBP-2080,CK3O2B-52
CBP-2081,CK3O2B-54A
CBP-2082,CK3O2B-55B
CBP-2520,T4C11
CBP-2083,CK3O2B-56B
CBP-2086,CK4F3A-52
CBP-2087,CK4F3A-53
CBP-2088,CK4F3A-54
CBP-2112,WR1F3B-55AA
CBP-2089,CK4F3A-55
CBP-2113,WR1O2A-52
CBP-2090,CK4F3A-56
CBP-2114,WR1O2A-53
CBP-2091,CK4F3A-57
CBP-2115,WR1O2A-54
CBP-2092,CK4F3A-58
CBP-2116,WR1O2A-55
CBP-2093,CK4F3B-51
CBP-2117,WR1O2A-56
CBP-2094,CK4F3B-52
CBP-2118,WR1O2A-57
CBP-2095,CK4F3B-53
CBP-2119,WR1O2A-58
CBP-2096,CK5O2B-1
CBP-2121,WR1O2B-51
CBP-2097,CK5O2B-2
CBP-2122,WR1O2B-53
CBP-2098,CK5O3B-13
CBP-2123,WR1O2B-54
CBP-2099,CK5O3B-14
CBP-2124,WR1O2B-56
CBP-2100,TP8F4aB-14
CBP-2125,WR1O2B-57
CBP-2101,TP8F6bB-19
CBP-2126,WR1O2B-58
CBP-2102,TP8F6bB-9
CBP-2127,WR1O2B-59
CBP-2103,TP8F7aA-1
CBP-2104,TP8F7aA-2
CBP-2312,N13C10
CBP-2277,M17C15
CBP-2450,S3C7
CBP-2346,N19A2
CBP-2322,N15A7
CBP-1836,S3C-1
CBP-1917,S11C1
CBP-1967,S16C2
CBP-1907,S10C6M
CBP-2522,T4C6
CBP-2516,T20C8
CBP-2293,M7C8
CBP-2400,S11C6
CBP-2105,TP8F7aA-3
CBP-2106,TP8F7aA-4
CBP-2107,TP8F7aA-5
CBP-2108,TP8F7aA-6
CBP-2109,TP8F7aA-7
CBP-2110,TP8F7aA-8
CBP-2111,TP8F7aA-9
CBP-2128,WR1O2B-61
CBP-2129,WR1O2B-62
CBP-2130,WR1O2B-63
CBP-2131,WR1O2B-64
CBP-2133,WR1O2B-66
CBP-2134,WR1O2B-67
CBP-2135,WR1O2B-68
CBP-2136,WR1O2B-69
CBP-2137,WR1O2B-70
CBP-2138,WR1O2B-71
CBP-2139,WR1O2B-72
CBP-2140,WR1O2B-73
CBP-2141,WR1O2B-74
CBP-2142,WR1O2B-75
CBP-2143,WR1O2B-76
CBP-2144,WR1O2B-77
CBP-2145,WR1O2B-78
CBP-2146,WR1O2B-79
CBP-2147,WR1O2B-80
CBP-2148,WR1O2C-51
CBP-2149,WR1O2C-52
CBP-2150,WR1O2C-54
CBP-2151,WR1O2C-55
CBP-2153,WR1O2C-60B
CBP-2154,WR1O2C-61
CBP-2155,WR1O2C-62
CBP-2157,WR1O4B-71A
CBP-2159,WR2O2B-51
CBP-2160,WR2O2B-52
CBP-2161,WR2O2B-53
CBP-2162,101-1
CBP-2163,101-2
CBP-2164,101-3
CBP-2467,T13B2
CBP-2165,101-4
CBP-2166,102-1
CBP-2167,102-2
CBP-2168,102-3
CBP-2169,102-4
CBP-2170,102-5
CBP-2171,102-6
CBP-2172,102-7
CBP-2173,102-8
CBP-2174,102-9
CBP-2175,103-1
CBP-2176,103-2
CBP-2177,103-3
CBP-2178,103-4
CBP-2179,103-5
CBP-2180,103-6
CBP-2181,103-7
CBP-2182,103-8
CBP-2183,103-9
