ecotype_size,npop,omega,gene_numebr
6,4,0.00010,1
9,5,0.00018,1
1,2,0.00404,1
5,3,0.00199,1
9,5,0.00009,1
5,3,0.00696,1
9,5,0.00003,1
6,4,0.00178,1
9,5,0.00073,1
9,5,0.00287,1
9,5,0.00001,1
9,5,0.00022,1
9,5,0.00003,1
9,5,0.00056,1
9,5,0.00023,1
9,5,0.00001,1
12,6,0.00058,1
5,3,0.00195,1
9,5,0.00041,1
6,4,0.00928,1
9,5,0.00077,1
9,5,0.00023,1
9,5,0.00002,1
6,4,0.00045,1
6,4,0.00748,1
5,3,0.00047,1
6,4,0.00831,1
5,3,0.00220,1
9,5,0.00009,1
9,5,0.01001,1
6,4,0.00101,1
6,4,0.00000,1
12,6,0.00004,1
9,5,0.00026,1
12,6,0.04927,1
5,3,0.00161,1
9,5,0.00003,1
6,4,0.00074,1
5,3,0.00381,1
6,4,0.00139,1
5,3,0.00370,1
6,4,0.00104,1
9,5,0.00000,1
9,5,0.00008,1
9,5,0.00001,1
9,5,0.00000,1
9,5,0.00003,1
6,4,0.00245,1
9,5,0.01740,1
5,3,0.00202,1
5,3,0.00421,1
6,4,0.00028,1
12,6,0.00133,1
5,3,0.00125,1
6,4,0.00024,1
5,3,0.00168,1
6,4,0.00336,1
6,4,0.00008,1
5,3,0.00302,1
13,7,0.08245,1
9,5,0.00147,1
6,4,0.00035,1
9,5,0.00249,1
6,4,0.00117,1
9,5,0.00013,1
6,4,0.00127,1
9,5,0.00006,1
12,6,0.06890,1
5,3,0.90617,1
6,4,0.00023,1
9,5,0.00052,1
9,5,0.00008,1
6,4,0.00105,1
5,3,0.00117,1
1,2,0.00111,1
9,5,0.00196,1
5,3,0.00246,1
9,5,0.00015,1
5,3,0.00224,1
5,3,0.00995,1
5,3,0.00131,1
9,5,0.00012,1
5,3,0.00208,1
6,4,0.00345,1
5,3,0.00125,1
9,5,0.00010,1
5,3,0.00199,1
9,5,0.00110,1
5,3,0.00160,1
5,3,0.00043,1
5,3,0.00044,1
6,4,0.00043,1
9,5,0.01592,1
5,3,0.00110,1
5,3,0.00186,1
9,5,0.00030,1
5,3,0.00152,1
9,5,0.00000,1
5,3,0.00587,1
6,4,0.00353,1
6,4,0.00071,1
5,3,0.00096,1
6,4,0.00743,1
5,3,0.00166,1
6,4,0.00008,1
5,3,0.00291,1
9,5,0.00012,1
6,4,0.00265,1
5,3,0.00193,1
6,4,0.00120,1
6,4,0.01675,1
5,3,0.00309,1
9,5,0.02610,1
6,4,0.00799,1
9,5,0.00087,1
9,5,0.00088,1
5,3,0.00444,1
5,3,0.00100,1
6,4,0.00030,1
5,3,0.00163,1
5,3,0.00095,1
5,3,0.00129,1
5,3,0.00230,1
5,3,0.00346,1
5,3,0.74320,1
9,5,0.00001,1
6,4,0.00134,1
6,4,0.00112,1
6,4,0.00036,1
5,3,0.00661,1
12,6,0.00007,1
6,4,0.00003,1
6,4,0.00043,1
5,3,0.00236,1
9,5,0.00097,1
6,4,0.00158,1
6,4,0.00138,1
9,5,0.00090,1
9,5,0.00004,1
6,4,0.00016,1
5,3,0.00365,1
9,5,0.00026,1
