ecotype_size,gene_numebr
6,1
9,1
1,1
5,1
9,1
5,1
9,1
6,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
12,1
5,1
9,1
6,1
9,1
9,1
9,1
6,1
6,1
5,1
6,1
5,1
9,1
9,1
6,1
6,1
12,1
9,1
12,1
5,1
9,1
6,1
5,1
6,1
5,1
6,1
9,1
9,1
9,1
9,1
9,1
6,1
9,1
5,1
5,1
6,1
12,1
5,1
6,1
5,1
6,1
6,1
5,1
13,1
9,1
6,1
9,1
6,1
9,1
6,1
9,1
12,1
5,1
6,1
9,1
9,1
6,1
5,1
1,1
9,1
5,1
9,1
5,1
5,1
5,1
9,1
5,1
6,1
5,1
9,1
5,1
9,1
5,1
5,1
5,1
6,1
9,1
5,1
5,1
9,1
5,1
9,1
5,1
6,1
6,1
5,1
6,1
5,1
6,1
5,1
9,1
6,1
5,1
6,1
6,1
5,1
9,1
6,1
9,1
9,1
5,1
5,1
6,1
5,1
5,1
5,1
5,1
5,1
5,1
9,1
6,1
6,1
6,1
5,1
12,1
6,1
6,1
5,1
9,1
6,1
6,1
9,1
9,1
6,1
5,1
9,1
5,1
5,1
9,1
6,1
6,1
5,1
5,1
5,1
9,1
9,1
9,1
9,1
5,1
9,1
9,1
6,1
9,1
9,1
5,1
9,1
6,1
6,1
6,1
9,1
5,1
6,1
5,1
9,1
5,1
5,1
5,1
6,1
9,1
5,1
12,1
5,1
12,1
6,1
6,1
5,1
9,1
9,1
1,1
6,1
1,1
6,1
9,1
6,1
5,1
9,1
9,1
5,1
6,1
6,1
12,1
6,1
9,1
9,1
5,1
6,1
9,1
5,1
6,1
5,1
5,1
6,1
5,1
9,1
5,1
6,1
6,1
5,1
6,1
9,1
6,1
9,1
5,1
6,1
5,1
9,1
5,1
9,1
9,1
5,1
9,1
9,1
9,1
5,1
9,1
9,1
6,1
5,1
5,1
5,1
1,1
5,1
6,1
5,1
9,1
9,1
12,1
9,1
5,1
6,1
6,1
12,1
5,1
6,1
5,1
6,1
5,1
6,1
6,1
9,1
9,1
9,1
9,1
6,1
5,1
9,1
9,1
6,1
9,1
5,1
5,1
5,1
9,1
6,1
6,1
9,1
6,1
6,1
6,1
6,1
9,1
5,1
9,1
9,1
5,1
6,1
5,1
5,1
5,1
12,1
5,1
9,1
6,1
1,1
5,1
9,1
5,1
6,1
6,1
9,1
5,1
6,1
5,1
9,1
9,1
9,1
9,1
5,1
9,1
6,1
9,1
5,1
5,1
6,1
5,1
9,1
5,1
9,1
6,1
5,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
6,1
6,1
6,1
5,1
9,1
12,1
9,1
6,1
9,1
9,1
9,1
9,1
5,1
5,1
9,1
6,1
5,1
1,1
6,1
9,1
9,1
9,1
6,1
9,1
6,1
6,1
9,1
6,1
9,1
5,1
5,1
5,1
9,1
9,1
5,1
6,1
9,1
9,1
5,1
5,1
6,1
6,1
12,1
6,1
9,1
5,1
5,1
5,1
5,1
5,1
9,1
9,1
5,1
6,1
5,1
5,1
5,1
9,1
5,1
5,1
6,1
9,1
9,1
5,1
5,1
6,1
9,1
5,1
6,1
12,1
9,1
9,1
5,1
5,1
9,1
9,1
9,1
6,1
5,1
5,1
5,1
5,1
9,1
5,1
6,1
6,1
9,1
5,1
12,1
6,1
5,1
9,1
9,1
9,1
9,1
9,1
5,1
9,1
9,1
5,1
9,1
5,1
6,1
9,1
5,1
5,1
5,1
9,1
6,1
9,1
9,1
5,1
6,1
5,1
6,1
6,1
1,1
5,1
5,1
1,1
5,1
5,1
5,1
9,1
1,1
6,1
5,1
5,1
6,1
9,1
1,1
6,1
5,1
5,1
6,1
5,1
9,1
6,1
6,1
9,1
6,1
9,1
6,1
9,1
9,1
5,1
5,1
6,1
6,1
5,1
9,1
9,1
6,1
5,1
9,1
5,1
9,1
9,1
5,1
6,1
6,1
6,1
6,1
9,1
6,1
5,1
6,1
6,1
5,1
9,1
9,1
6,1
5,1
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
9,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
6,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
6,3
5,3
1,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
1,3
5,3
5,3
9,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
9,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
1,3
5,3
5,3
5,3
1,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
9,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
6,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
9,3
5,3
5,3
5,3
6,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
1,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
6,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
9,3
1,3
5,3
5,3
5,3
5,3
1,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
1,3
5,3
6,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
5,3
5,3
9,3
5,3
5,3
5,3
5,3
5,3
1,3
5,3
5,3
5,3
5,3
5,3
1,3
1,3
5,3
5,3
5,3
5,7
6,7
5,7
9,7
5,7
6,7
6,7
9,7
6,7
9,7
5,7
9,7
9,7
9,7
5,7
5,7
6,7
5,7
5,7
5,7
6,7
6,7
5,7
6,7
5,7
6,7
5,7
9,7
6,7
9,7
6,7
5,7
9,7
12,7
1,7
9,7
6,7
5,7
6,7
5,7
5,7
6,7
5,7
5,7
5,7
6,7
6,7
5,7
9,7
6,7
5,7
9,7
