StrainName,CloneID,ChrisName,LabName,CollectionSite,Species,Soil_Type,Elevation,Elevation_class,Elevation group in meters,Lat_Degrees,Lat_Min,Lon_Degrees,Lon_Min,Date,Lat,Lon,calc_elevation,final_elevation
CBP-1848*,sp_collection1_7,S14C1II,S14C1II,S14,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-1987*,sp_collection95_1,N10b1,N10b1,N10B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-1989,sp_collection1_12,N10b3,N10b3,N10B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-1990*,sp_collection95_2,N10B3M,N10B3M,N10B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-1991*,sp_collection95_4,N10b4,N10b4,N10B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-1992*,sp_collection95_3,N10B4M,N10B4M,N10B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2163*,sp_collection97_1,101-2,101-2,101,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2164*,sp_collection97_2,101-3,101-3,101,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2165*,sp_collection97_3,101-4,101-4,101,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2170*,sp_collection98_1,102-5,102-5,102,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2171,sp_collection98_1,102-6,102-6,102,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2185*,sp_collection1_13,105-3,105-3,105,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2186*,ia_collection2_2,105-4,105-4,105,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2193*,sp_collection45_1,16a-2,16a-2,16,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2194*,ia_collection2_3,16b-1,16b-1,16,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2195,sp_collection45_2,16b-2,16b-2,16,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2196*,sp_collection45_3,16b-3,16b-3,16,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2197*,ia_collection46_2,18a-1,18a-1,18,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2198*,sp_collection99_3,19b-1,19b-1,19,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2200*,sp_collection99_1,19b-3a,19b-3a,19,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2202,sp_collection99_1,19b-4,19b-4,19,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2203*,sp_collection99_2,19b-5,19b-5,19,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2205,sp_collection99_1,19b-7,19b-7,19,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2213*,sp_collection100_1,93-1,93-1,93,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,
CBP-2214*,sp_collection100_2,93-2,93-2,93,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2215*,sp_collection101_4,96-1,96-1,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2217*,sp_collection101_3,96-11,96-11,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2218*,sp_collection101_2,96-12,96-12,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2219*,sp_collection101_1,96-2,96-2,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2221,sp_collection101_1,96-4,96-4,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2223,sp_collection101_1,96-8,96-8,96,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2225*,ia_collection47_1,97-1,97-1,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2226,ia_collection47_1,97-2,97-2,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2227,ia_collection47_1,97-3,97-3,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2228,ia_collection47_1,97-4,97-4,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2229,ia_collection47_1,97-5,97-5,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2230,ia_collection47_1,97-6,97-6,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2231,ia_collection47_1,97-7,97-7,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2233,ia_collection47_1,97-9,97-9,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2237*,sp_collection102_1,98-2,98-2,98,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2243*,sp_collection102_3,98-7b,98-7b,98,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2244*,sp_collection102_2,98-9,98-9,98,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2250*,sp_collection45_2,16B2,16B2,16,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2251,sp_collection45_2,16B3,16B3,16,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2252*,ia_collection46_1,18A1,18A1,18,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2254,ia_collection47_1,97-1,97-1,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2255,ia_collection47_1,97-2,97-2,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2256,ia_collection47_1,97-3,97-3,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2257,ia_collection47_1,97-4,97-4,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2258*,ia_collection47_2,97-5,97-5,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2259,ia_collection47_1,97-6,97-6,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2260,ia_collection47_1,97-7,97-7,97,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2262*,sp_collection1_14,M13B10,M13B10,M13B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2263*,sp_collection1_15,M13C8,M13C8,M13C,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2264*,ia_collection48_3,M15B1,M15B1,M15B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2265*,ia_collection48_2,M15B2,M15B2,M15B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2267*,ia_collection48_4,M15B4,M15B4,M15B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2268*,ia_collection48_1,M15B5,M15B5,M15B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2269*,sp_collection1_16,M16B1,M16B1,M16B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2272*,ia_collection2_4,M16B4,M16B4,M16B,inaquosorum,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2278*,sp_collection105_2,M18B2,M18B2,M18B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2279*,sp_collection105_1,M18B3,M18B3,M18B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2280*,sp_collection105_3,M18B4,M18B4,M18B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2281*,sp_collection105_4,M18B5,M18B5,M18B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2282*,sp_collection106_2,M19B1,M19B1,M19B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
CBP-2283*,sp_collection106_5,M19B2,M19B2,M19B,spizizenii,Free,-260,Low,Below 0 m,,,,,,,,,*
