gene_name,length
tmk,639
group_7651,186
fin,231
murJ_2,1599
group_17894,261
yabP,303
divIC,378
lysS,1500
gbsB,1209
group_9212,264
cdoA,486
group_3080,1989
group_6292,678
group_4928,984
group_4929,405
group_10875,237
yugI,393
dapX_2,1083
group_17853,501
tmpC,1080
mglA,1533
group_7679,1047
rfuD,960
cimH_2,1347
mrpD,1491
mrpE,477
mrpG,375
group_9225,369
cdgJ,1230
dhbA,786
besA,882
yedY1,597
group_3095,1329
dapF,855
group_6331,435
yutD,276
group_9238,636
lytH,981
yunB,768
group_7709,288
ngcG,903
thiO_1,1125
sspG,150
group_4974,1398
metP,669
rnmV_1,369
gcvH,384
fadA,1176
group_9255,246
group_7729,333
group_6345,384
fabG_4,741
group_6349,438
liaR_2,636
liaI,381
group_7739,1269
yvqK,582
feuC_1,1011
modB,684
cysJ,1809
csoR,306
group_6369,573
smpB,471
est,741
secG,231
yvaM,771
group_17835,243
mcpB_1,1701
epsM,639
epsL,609
epsK,1518
epsJ,1035
epsH,1035
ywqC_1,789
group_17977,459
group_6386,192
padC,486
group_3909,456
levB,1551
yvdM,675
malG_2,837
malF,1308
ghrB,975
yxdM_2,1941
yvcJ,888
trxB,951
group_7780,1455
group_1893,360
priA_1,738
hprK,933
cpdA,3870
ymfD_1,1212
ftsX,900
secA,2526
tuaC,1170
group_17863,660
group_10913,168
hcaR,888
chrA,537
group_17934,261
group_17930,423
ywqE,765
ywqD,687
ywqC_2,747
group_6451,1611
rapA_3,2769
ywpJ,858
ssbB,342
ywpG,384
srtA,657
cheB_1,1077
fabZ_1,426
rapF_2,1065
flgG_2,810
nrgA,1215
nrgB,351
bcrC_1,582
spoIIQ,873
ywnH,498
pseB,1005
speG,591
pseI,1050
mta,774
group_9328,390
ureA,318
livF,702
livH,903
amiC,1257
csbD,189
ywmB,741
atpC,399
atpE,213
atpB,735
ywlC,1041
spo0F,375
group_17884,273
narX,672
group_5143,555
narH,1464
albA,1347
albE,1185
albG,702
pbpG,2076
group_17921,519
ywhB,189
yusO_3,420
thrZ,1917
iscR,477
group_6482,501
group_9366,1302
group_17896,225
cysL_1,900
pta_1,972
group_17885,765
bacD,1419
bacA,615
rocG,1275
bslB,465
rfbC,456
rmlD,918
rfbB,948
spsA,771
gerQ,528
group_9371,372
ywdI,318
aldH1,1371
arnC_1,807
cidA_2,492
group_7902,714
ywaC,633
group_6505,1188
dltC_1,237
ilvK,1092
licB,309
licR,1926
group_7914,591
yxlF,888
yxlC,321
cydA,1407
cimH_1,1353
group_3745,195
lrp,894
