gene_name,avg_mismatch,ecotype_size
mshD,8.899105273,14
purA,5.667047401,14
sgrR,14.36341138,14
rhgT,5.443556063,20
lutA_2,16.16257377,14
manZ,9.018465639,16
epsH,9.900437845,19
group_4974,6.411193604,14
dacF,4.648581763,14
ykoT,10.26004188,18
gcvPA,11.07519513,15
metP,3.20350276,14
pta_2,4.460879497,14
eamA_2,13.71711403,14
gucD,20.81096516,14
minD,3.660003807,14
rplF,0.038454217,14
spoVAD,6.170378831,21
resA_2,3.024367028,14
yxlF,6.846944603,14
tsaB,6.17190177,14
group_17983,5.74795355,14
map,1.658480868,14
ugtP_1,8.130972777,14
group_3607,14.11745669,14
yclP,3.55987055,14
yitJ,9.708357129,14
lytH,7.667047401,14
kefB,11.10508281,16
lrp,9.280411194,14
narX,5.500285551,14
sigM_1,3.514943842,14
mntH_1,19.19055778,16
catE,12.23872073,14
glpQ_3,5.541024177,14
cshB,5.538739768,14
rapF_2,4.882543309,14
epsK,19.29773463,14
penP,6.16676185,14
malF,24.01465829,30
ecfT,5.048543689,14
COQ5_1,5.968589377,18
group_3611,9.163906339,16
fabG_5,4.4614506,14
walR_2,5.294498382,14
rplE,0.187892633,21
yvaM,11.08052541,14
citM,18.50199886,14
citZ,3.575099943,14
gerD,2.136493432,14
deoC,8.808871121,14
fabG_4,5.553017323,14
group_5261,4.696363982,18
group_6967,5.268418047,14
group_6797,8.250904245,14
mglA,20.52636589,14
rsgA,7.684751571,26
group_6807,4.764705882,14
cheD,2.986864649,18
epsJ,13.28440891,18
tycC,27.27984009,14
malG_2,12.28555111,14
znuB,9.718446602,26
opuAB,4.8890158,14
ywqE,7.021892252,14
narH,15.38473253,14
kipR,6.572054064,14
speG,3.551304017,29
gltP_2,14.39577384,20
glnP,3.933752142,14
oxyR,7.035217971,14
group_8225,6.112887874,14
ssbA,2.189986674,16
yacL,4.984770607,14
group_9890,3.395202741,14
ilvE,12.66685703,14
yedY1,5.697886922,29
bofC,1.727774605,21
pseI,9.656767561,14
dpaB,1.596992195,20
nrgA,9.411955073,16
mta,10.66038454,14
tcrX,7.277174948,14
lipM,6.352560442,15
