gene_name,avg_mismatch_rate,ecotype_size
group_6385,0.006026372,1
group_7931,0.010120795,1
IMPDH_2,0.006719336,8
ywiE,0.007008595,1
group_6346,0.006903065,8
recF_1,0.006873126,8
group_3564,0.009013989,1
nadC,0.011165055,7
ywrO,0.008759085,7
epsH,0.012301138,8
ssuC_1,0.008253962,7
yueD,0.012379772,9
ffh,0.003947119,1
yclQ,0.01212034,9
bslA,0.007603351,1
ribZ_1,0.009821035,1
pta_2,0.006498564,8
group_2524,0.018254601,1
gucD,0.009870732,8
group_5511,0.011355278,8
sfp,0.013510765,8
cah,0.014138633,1
ecsA,0.009292123,9
resA_2,0.015246644,1
group_4343,0.004915853,1
yqfL,0.002311513,1
tsaB,0.013740598,1
map,0.00095633,8
citN,0.010883811,1
ktrA_2,0.00804002,1
stiP,0.018698153,1
comGA,0.007753009,8
group_6019,0.009077423,1
lytH,0.009771838,1
lrgB,0.007366245,8
ypjQ_2,0.00511515,1
rmlA,0.006362978,9
lrp,0.006369413,8
narX,0.010105225,7
epsI,0.010883852,8
tuaE,0.007961679,8
nadB,0.014057664,8
group_5114,0.008227278,8
mntH_1,0.006210105,8
sucD,0.004339101,8
glpQ_1,0.013067547,9
qdoI,0.011373392,8
fadB_2,0.008682768,1
frlD,0.010832664,8
hemH,0.007699578,1
lutP,0.009910241,8
IMPDH_1,0.009127209,8
naiP,0.009819452,7
ydaD_3,0.00596779,8
flgG_2,0.012288415,8
cshB,0.006746471,8
group_5880,0.004432362,8
group_6345,0.00480563,7
fecD,0.010438066,1
racA,0.006243777,11
tuaG,0.00737659,8
recF_2,0.005060887,8
epsK,0.012108084,1
lutA_1,0.00723877,7
proY,0.008879652,8
speB,0.019840035,8
group_6796,0.010620872,8
amj,0.007822536,8
group_4156,0.014794879,8
group_5512,0.010001064,8
group_5260,0.023995636,7
group_6580,0.006349653,7
group_5089,0.01181959,9
fabG_5,0.006357659,8
walR_2,0.006040157,9
ilvA,0.006412111,8
pabA,0.007639322,1
glvR,0.01311008,8
group_7660,0.010083002,8
yvbW,0.010315963,1
walR_3,0.007077463,8
deoC,0.009127741,9
ugtP_2,0.005822203,8
yjlD_1,0.003811873,8
group_6754,0.007107066,1
cheD,0.002336126,10
hisC_2,0.011697218,7
epsJ,0.01189112,1
sipW,0.005961108,9
ytrB_1,0.008542365,8
mntH_2,0.008124915,8
purC,0.010640643,8
ydaD_2,0.008366816,8
pbpF,0.007471473,1
purT,0.011162115,7
group_6387,0.012405953,8
fadB_1,0.006868213,8
lutB,0.008293368,8
mtnD,0.011085218,7
pepE_2,0.014884517,9
group_5852,0.007522094,1
group_14334,0.006575673,7
znuB,0.007363511,7
