gene_name,length
group_7060,246
recF_1,1113
group_7059,216
dnaN,1137
dnaA_1,1341
rnpA,351
misCA,780
mnmE,1380
mnmG,1887
rsmG,720
noc,852
soj,762
spo0J,849
group_6007,618
group_12191,1017
group_8504,207
ynfF,2004
ychF,1101
rpsF,288
ssbA,519
rpsR,240
exoA,759
ccpB_2,936
group_5106,381
ydjE,1356
slyA_1,453
group_7052,480
yybR_2,378
cotF,483
group_5097,930
gdpP,1980
rplI,450
yycB,1209
yycC,144
dnaC,1365
yycE,420
purA,1293
walR_1,711
walK,1836
yycH,1377
yycI,843
yycJ,795
htrB_1,1212
rocR,1386
rocD,1206
rocE,1464
rocF,891
group_7045,117
rapG_1,1098
yycN_1,471
ahpC_1,564
gntT,1347
xylB_1,1542
rspR_1,732
cidB,693
cidA_1,405
group_5990,432
yxaF_1,576
qdoI,1014
group_7038,456
alkH,1338
htpG,1881
csbC_1,1362
group_7036,309
group_2472,651
iolS_1,933
srlR,756
iolA,1464
iolB,816
iolC,978
iolE_1,894
iolT_1,1332
iolG_1,1035
iolE_2,870
iolI,837
iolJ,873
yxdL_1,774
yxdM_1,1869
yxeB,966
group_5984,399
group_5983,354
group_4284,1110
deoC,672
rocC_2,1428
hutG,957
hutI,1266
hutU,1659
hutH,1527
hutP,456
abn2,1419
bglF_2,1845
teaD_1,447
yxiM,1149
group_5064,1284
licT,834
bglC_1,1422
citN,1281
katE,2061
group_5969,291
group_8482,672
nupG,1194
scoA,717
scoB_1,657
group_7657,489
pepT_1,1233
lnpD,1020
group_8478,837
lrp,894
msmX_1,1098
icaB,840
cimH_1,1353
cydA,1407
cydD,1704
hlyB,1728
nnrD,831
pucI_1,1371
yajR,1203
group_7012,591
licR,1926
licB,309
licC_1,1359
licA,264
licH,1329
dltD,1179
dltC,237
patA,1188
dltA_1,1515
ywaD,1368
group_5956,714
gspA,861
licC_2,1335
rlmI,1188
group_8467,198
yohK,678
cidA_2,492
cynR,906
thiM,819
thiE,669
group_7002,600
slrA,159
group_7000,405
group_8458,249
qoxA,1002
qoxC,615
group_8457,303
sacY_2,831
sacX_2,1386
scrB,1440
pdxK,816
group_6994,339
arnC_1,807
ywdJ,1323
group_8454,372
spsA,771
wecD_1,870
spsE,1122
kdsB_1,723
murG_1,1020
rmlA,741
rfbB,948
rmlD,852
rfbC,456
bslB,465
bacB,708
group_5937,765
pta_1,972
cysL_1,900
group_6989,225
thrZ,1917
yusO_1,420
ywhB,189
group_6988,660
speE,831
speB,873
albD,1311
albC,720
albA,1347
ywiB,429
argS,1671
narT,1230
fnr,717
narG,3687
narH,1464
group_5932,555
ywiE,1503
uvsE,963
acdA,1140
rpoE,522
pyrG,1608
group_6980,522
spo0F,375
murAB,1290
glpX,966
rho,1284
rpmE,201
group_5927,957
cetB,387
prmC,867
group_6978,285
group_5024,363
group_5925,675
group_5924,465
ywlC,1041
mntP,558
ywlE,453
ywlF,450
glyA,1248
upp,630
group_8438,384
atpB,735
atpD,1422
atpC,399
murAA,1311
group_5021,1032
group_8432,684
fdhD,789
moaA,1026
group_6973,480
csbD,189
group_5919,1071
livF,702
ureA,318
ureB,375
mta,774
group_8428,435
yecD,570
ribZ_1,1362
pucI_2,1467
yhhS,1152
slyA_3,414
spoIIID,282
mbl,1002
flgG_2,813
mscL,396
group_2654,423
ywpG,384
ssbB,342
glcR,777
ywpJ,858
rapA_2,2769
group_8170,144
ywqF,1323
group_5575,423
group_3186,2286
gltR_1,882
chrA,537
group_8172,594
group_8173,477
ywrD,1578
hcaR,888
rbsB,918
rbsC,969
rbsD,396
rbsK,882
capA,1143
pgdS,1362
gerBC_2,1134
gerBB,1113
tuaH,1200
yigZ,654
degV,846
comFB,297
group_3903,723
group_6665,267
yviE,576
fliW,432
fliD,1497
fliT,342
group_6670,846
cccB,339
ftsE,687
ctpB,1443
csbA,231
uvrB,1986
uvrA,2874
group_8184,198
pchR,510
yvmC,747
cypX,1218
nagR_1,732
nagB,729
lgt,810
group_6678,939
ppaX_2,651
dapH_2,519
pelC,666
hisZ,1176
hisG,642
hisD,1284
hisB,585
hisH,639
hisI,624
bmrA,1770
trxB,951
yvcJ,888
crh,258
csh_1,585
clpP,597
yvdT,585
ywqC_2,705
yveL,684
pglF,1797
epsE,837
epsF_1,1149
epsG,1104
epsH,1035
epsJ,1035
epsL,609
epsM,639
epsN,1167
yvfG,219
lutR_2,723
lacR_2,993
malF,1257
malG,852
ganA,2064
desR_1,603
lutA_1,717
lutC,723
group_4717,1011
araR,1089
gpmI,1536
opuCA,1140
secG,231
smpB,471
azoR2,636
csoR,306
cysJ,1818
sspJ,141
arcD,1410
feuB_2,1224
feuC_2,1011
walR_3,714
bdhA_2,792
btuF,954
group_7217,1269
liaH,681
liaF,726
liaS,1083
gerAC,1122
gerAB,1098
gerAA_1,1449
group_8630,186
cssR,678
mrgA,462
yusO_2,471
group_7220,333
group_8632,246
fadM,909
fadN,2370
fadA,1176
group_8633,237
group_4454,1398
group_8635,273
sspG,150
ngcF,879
bsn,867
trpD_2,531
pucF,1239
pucG,1251
pucA,993
pucB,618
pucK_1,1293
pucR,1596
mggB,1389
group_8638,306
yunB,768
lytH,981
lipA,897
yutD,276
yutF,771
ypjQ_1,450
hom,1302
group_3029,237
group_6204,363
yumC,999
group_7230,477
yedY1,597
dhbA,786
dhbC,1200
dhbE,1620
dhbB,936
group_6209,678
yukE,294
mrpE,477
mrpC,342
group_7062,237
pgi,1353
mstX,249
group_2020,1293
nmoA,1032
tgl,738
rhaA,1275
iolU_2,987
thiL,978
tsaE,477
rimI,456
tsaD,1041
group_3417,1929
moaC,513
rex,648
tatAy,174
MroQ,735
groS,285
groL,1635
gutB_1,1062
xylP,1392
scrK,963
ydjF_1,681
priA_3,1026
group_4907,768
group_5475,972
gutB_2,1041
ydjP,816
mneS_1,873
ravA,963
pbuG,1323
group_4575,810
group_6891,168
group_8336,555
group_5827,198
purE,489
purK,1104
purS,255
purQ,684
purL,2229
purF,1431
purM,1041
purN,588
purD,1269
lrpC_1,423
group_6889,234
yerA,1743
yerB,996
pcrB,687
group_4130,1191
srkA,1002
sapB,693
opuE,1479
gatC,291
group_5817,720
comR,585
group_3401,984
group_6884,630
group_5816,249
group_4901,264
ydbD_2,570
group_8324,543
yesV_2,630
btsS,1734
rssB,1107
yesO,1284
lacF,930
