gene_name,avg_mismatch_rate,ecotype_size
mshD,0.008623164,14
purA,0.004382867,14
sgrR,0.008312159,14
rhgT,0.007821201,20
lutA_2,0.012106797,14
manZ,0.010891867,16
epsH,0.00956564,19
group_4974,0.004585975,14
dacF,0.003973147,14
ykoT,0.010118384,18
gcvPA,0.00822212,15
metP,0.004788494,14
pta_2,0.004956533,14
eamA_2,0.014515465,14
gucD,0.013873977,14
minD,0.004535321,14
rplF,7.12E-05,14
spoVAD,0.006067236,21
resA_2,0.00560068,14
yxlF,0.007710523,14
tsaB,0.008944785,14
group_17983,0.01058555,14
map,0.002220189,14
ugtP_1,0.007425546,14
group_3607,0.01125794,14
yclP,0.004690212,14
yitJ,0.00527915,14
lytH,0.007815543,14
kefB,0.006019015,16
lrp,0.010380773,14
narX,0.008184949,14
sigM_1,0.006545519,14
mntH_1,0.015794698,16
catE,0.014264243,14
glpQ_3,0.007569705,14
cshB,0.004205573,14
rapF_2,0.004584548,14
epsK,0.012712605,14
penP,0.006717606,14
malF,0.01835983,30
ecfT,0.006326496,14
COQ5_1,0.009997637,18
group_3611,0.010680544,16
fabG_5,0.00611996,14
walR_2,0.007639969,14
rplE,0.000347949,21
yvaM,0.014371628,14
citM,0.014210445,14
citZ,0.003194906,14
gerD,0.003828841,14
deoC,0.013108439,14
fabG_4,0.007493951,14
group_5261,0.005819534,18
group_6967,0.005739017,14
group_6797,0.006208355,14
mglA,0.013389671,14
rsgA,0.00856717,26
group_6807,0.007122131,14
cheD,0.005961806,18
epsJ,0.012835178,18
tycC,0.010217169,14
malG_2,0.014678078,14
znuB,0.011528406,26
opuAB,0.005758558,14
ywqE,0.009178944,14
narH,0.010508697,14
kipR,0.008693193,14
speG,0.006008975,29
gltP_2,0.011618865,20
glnP,0.005987446,14
oxyR,0.007215608,14
group_8225,0.006837682,14
ssbA,0.004219628,16
yacL,0.004527494,14
group_9890,0.004526937,14
ilvE,0.011631641,14
yedY1,0.009544199,29
bofC,0.003367982,21
pseI,0.009196921,14
dpaB,0.002648412,20
nrgA,0.007746465,16
mta,0.013773107,14
tcrX,0.010639145,14
lipM,0.007589678,15
ywqD,0.010828774,14
group_7739,0.012512944,16
araL,0.029092606,14
ypcP,0.007323911,21
opuAC,0.007359794,14
tuaC,0.005601358,14
group_6369,0.006820668,14
ppaC,0.004519895,14
purQ,0.011381689,14
ligd,0.012067904,14
opuAA,0.004590777,14
group_8434,0.005830612,21
cheC,0.006971678,18
epsM,0.021151041,16
ydjE,0.01360425,21
ku,0.010370614,14
yhfK,0.011594703,14
dgk,0.005954473,18
melD,0.012630418,14
cysE,0.004588902,14
feuB_2,0.008047522,18
rplB,0.003480026,14
gltR_2,0.009531876,14
group_9844,0.011658212,14
group_4637,0.011454114,14
yteP_2,0.012673457,14
ytnP,0.010280965,14
glcU,0.008991335,14
acuA,0.006668874,14
rmlD,0.009433141,14
epsL,0.009964437,14
group_9717,0.008437117,14
rocC_2,0.010691117,14
aroD,0.007490264,14
bioY_2,0.008165099,14
prsW,0.005061107,14
modB,0.008532301,14
cheB_1,0.008213373,14
group_5406,0.007632864,14
rlmG,0.003997401,16
fadD,0.011222741,25
tcyL,0.009348362,19
csn,0.010588931,14
group_6292,0.002434064,14
bacD,0.009049629,14
liaR_2,0.00568139,16
bcd_1,0.008556873,16
uvrC_2,0.007592578,14
xpt,0.006752999,14
glnQ_2,0.003985075,14
pdhD_2,0.015674136,14
fadR,0.005622835,14
mutY,0.0080901,18
livH,0.012411407,26
trxB,0.013058283,14
rsmB,0.010549102,14
hutU,0.016051679,14
rfbB,0.01072624,15
mdrP_2,0.011758934,14
ispD,0.005719193,20
yesU,0.007610964,14
cysL_1,0.007541088,14
group_4928,0.005046671,14
tgnB,0.015556802,14
ftsA,0.002241529,15
ymdB,0.004109781,25
cidB,0.015039025,14
ydhP_3,0.019164791,14
group_5559,0.008246904,25
ssuB_1,0.004933506,14
ruvB_1,0.007278096,21
yxeI,0.007752795,14
mreC,0.003715544,16
group_7170,0.005423315,25
glpP,0.005152479,14
hcaB_2,0.010117478,14
group_2747,0.011976334,18
group_17921,0.014685067,15
cpdA,0.006916191,14
oppD_1,0.008768799,37
ydaF,0.014653409,40
rhaR_1,0.011554597,14
ntaA,0.009001536,20
gamA,0.017329018,14
tenA,0.011804393,21
dapF,0.007491792,14
group_6482,0.007312616,14
yhdG_1,0.005197248,14
yifK,0.007018924,14
thiO_2,0.007478867,14
group_6451,0.007345275,14
norG_1,0.009697416,14
group_9366,0.006159892,14
PROSC,0.002526695,14
yxdM_2,0.008520535,14
tcyK,0.009522571,14
gudD,0.015156474,19
gntT_1,0.008564837,14
salA,0.004935351,14
dltA_4,0.006607461,14
bioI,0.018056701,27
rapA_3,0.005900221,14
group_9987,0.007259824,14
albG,0.010120929,14
trmR,0.004748415,21
yfiZ_1,0.008103914,20
dapH_2,0.004656103,29
thiO_1,0.021704592,20
dapA,0.002841555,14
albE,0.010230682,32
rapA_1,0.002139656,14
metQ_2,0.009350453,15
group_17891,0.004424726,14
group_17885,0.005857842,14
group_7980,0.006980767,14
truA,0.005589484,14
atpB,0.002629142,14
aes,0.008796745,14
mrpD,0.006501475,21
tsf,0.006331119,14
fadA,0.008864549,14
pxpB,0.011641112,14
ydbM,0.007027979,15
gbsB,0.006365578,14
yxeO,0.00802259,14
clcD,0.01591242,16
ngcG,0.005715449,20
yojM,0.011384813,16
bacA,0.007213841,16
amiC,0.009767196,14
group_6533,0.003253416,14
queG,0.003867853,14
yxeN,0.00605594,18
gudP,0.009976477,14
yteT,0.010400835,20
rpsC,0.001491646,14
gerPC,0.00466739,16
group_9238,0.005865771,14
hutG,0.015281112,14
group_8697,0.008587617,14
gshB,0.005435931,18
iolI,0.007635166,14
yesR,0.014714757,21
gamP,0.01044601,14
group_17853,0.006337601,14
ywlC,0.006581299,14
group_5143,0.009093731,14
scoB_2,0.007573072,18
yesS_2,0.011798116,21
pdp,0.006354938,14
dhbA,0.006022004,14
glgD,0.008354215,14
yceC,0.005956596,14
yfmL,0.015648167,14
yveA_2,0.007817637,14
nupC,0.009356671,15
ycdF,0.007772478,14
mpr,0.006591091,14
dnaJ,0.005571284,14
group_6891,0.007640575,12
srtA,0.008448894,14
gabD,0.01202604,15
group_3241,0.005701074,29
group_17863,0.001445639,14
gdpP,0.004065979,14
yrrB,0.011508309,14
aldH1,0.010113772,14
rsmH_2,0.010099235,14
ghrB,0.005292214,14
lysS,0.008317914,14
yodF_1,0.011418289,14
group_2559,0.014320615,14
group_5544,0.013230535,14
phoD,0.004246323,14
sdhA,0.006576635,15
group_3646,0.021540552,26
yjmC,0.01903768,18
group_5586,0.020864677,14
ychF,0.008805141,14
yvqK,0.010268392,39
group_6892,0.016628959,15
lnpD,0.007655383,16
est,0.006109741,14
ypfD,0.002815085,14
lipO_2,0.011243158,14
group_17864,0.007242167,14
yesY,0.017148494,14
group_8307,0.011293814,14
gabT,0.014141932,14
ywqC_2,0.005498738,14
natB,0.011950515,14
group_7236,0.006601394,14
yajO_3,0.019315161,14
ylmA,0.004889928,20
livF,0.005106023,16
sdpC,0.005290912,16
group_8071,0.00521641,14
kdgK,0.005473209,14
fmt,0.010271705,16
yhcN,0.003288963,14
yfmJ,0.015614793,14
mutS2,0.006126795,14
group_6505,0.003118628,14
ruvA,0.007262862,16
thiD,0.010260943,41
mnmC,0.007461818,14
sdpB,0.009491146,18
rsbU,0.005971644,20
rfuD,0.006959119,14
ypfA,0.004197601,14
ywaC,0.015440511,14
yesO,0.01076762,14
spoIIQ,0.001522285,16
ywmB,0.003239843,14
bglA,0.02017141,14
group_9768,0.009428489,14
secA,0.008871151,30
ywqC_1,0.003255789,16
ydbD_2,0.010139235,14
pomA_1,0.01084181,18
dnaC_1,0.006758113,14
rcsC_2,0.008322473,14
group_5224,0.002409274,20
mnmA,0.004545619,14
group_9807,0.005750186,14
yvdM,0.015696991,14
thrZ,0.011619661,14
ftsX,0.005719695,19
srtD,0.006381613,12
ykfB,0.013178231,14
lldR,0.00530996,14
licR,0.009033161,14
group_8389,0.003963954,14
nhaX,0.004111708,14
cimH_1,0.014822769,14
cdgJ,0.005958964,14
coaA,0.00386664,14
sigB,0.006661894,14
bcrC_1,0.005345661,14
ykoJ,0.004084045,29
yclO,0.00487204,14
hxlB,0.010754735,14
lutR_2,0.01096538,14
hcaR,0.004868303,16
ilvK,0.007082295,14
group_2707,0.009334541,14
rnhC,0.007403514,14
accA,0.005428002,14
polX,0.00576092,14
adhA,0.009983048,14
gntR,0.006774427,14
cydA,0.007774892,14
sasA_2,0.008580585,15
rsiW,0.004114304,14
ypbG_2,0.008219235,14
ykuR,0.005826596,14
bcrA_2,0.010516975,14
group_7093,0.003157604,14
cimH_2,0.006149984,14
mccB,0.006876772,14
fliG,0.003084626,14
araA,0.009344346,14
pbp,0.00815317,14
graR_3,0.011186043,19
