gene_name,length
recF_1,1113
group_7392,216
rnpA,348
mnmE,1380
mnmG,1887
soj,762
spo0J,840
group_8760,615
group_8731,996
group_8761,207
dmsA_1,2004
ychF,1101
rpsF,288
ssbA,516
mcbR,669
group_3133,381
ydjE,1347
group_1059,906
yycE,408
group_5493,711
yycI,846
yycJ,795
htrA_1,1197
group_6338,720
rocF,891
cycA,1353
ahpC_1,564
gntT,1347
gntR,732
cdaR_1,1116
yxaF_1,576
qdoI,1014
alkH,1338
bacC_1,822
csbC_1,1389
group_6341,546
group_2522,585
iolS_1,933
srlR_1,762
iolA_1,1464
iolB,816
iolD,1914
ygcS,1305
iolG,1035
iolJ,873
yxeB,972
group_3843,402
graR_2,690
yxdL_1,774
yxdM_1,1884
group_7412,354
yxeF,429
yxeI,987
group_2524,1122
group_6345,846
deoC,669
nupC,1182
pdp,1302
group_6346,1431
hutG,975
hutU,1659
hutH,1521
hutP,447
abn2,1419
yedA_1,933
ddl_1,1251
bacA,597
group_6349,1227
avtA,1299
bglH,1410
teaD,447
ido,732
bacC_2,744
group_7085,930
pelB,1119
epi_1,555
dbpA_2,1446
group_5511,1245
citN,1287
group_3852,288
group_5512,1446
scoA,702
scoB_1,663
bdhA,786
norR_1,1398
group_6358,123
group_6359,837
lrp,894
icaB,849
cydA,1407
cydB,1017
group_5518,591
licB,309
licA_1,333
dltD,1179
group_7430,1188
menA,936
ywaC,633
tyrS,1245
ywaD_1,1377
gspA,861
sacY_1,843
sacX_1,1371
licC_2,1353
gloA,384
rlmI,1188
cynR_1,906
thiM,816
thiE,669
group_7436,606
actP,1542
group_5532,315
COQ3_2,678
slrA,162
group_5533,645
group_14366,408
galK,1173
group_8804,249
qoxB,1950
qoxC,615
rodA,1185
nfrA1,750
fgd,1002
group_4671,249
group_5534,321
sacY_2,831
group_6373,249
pdxK,813
group_7438,339
arnC_1,807
ung,681
ywdI,318
ywdJ,1320
group_14348,372
group_6159,1428
rmlA,738
rfbB,951
rmlD,849
rfbC,456
sotB,1230
group_4679,765
cysL_1,888
lipL,846
rsfA_1,774
group_14328,222
yhdG_1,1383
hpr_1,420
ywhB,189
group_14347,660
group_14358,522
speE,831
speB,873
argS,1671
narT,1188
narG,3687
group_4685,555
narX,693
ywiE,1503
group_4689,525
group_14359,273
uvsE,963
clsB,1200
fadF,2226
acdA,1140
rpoE,534
spo0F,375
murAB,1290
glpX,966
rpmE,210
tdk,597
group_3016,957
racA,561
cetB,384
prfA,1071
group_1472,288
group_8102,366
group_7452,687
ywlC,1041
mntP,567
ywlF,450
group_5547,543
upp,630
atpE,213
atpF,519
atpD,1422
atpC,399
group_4696,471
group_5549,1032
group_6385,684
group_4697,681
group_6386,198
moaA,1026
rapA_1,1134
group_8822,480
csbD,192
ureA,318
ureB,375
group_6387,642
group_4699,390
mta_1,765
kdsB,759
fcl,945
bcrC,582
ftsW_1,1155
nrgB,351
nrgA,1209
group_7467,462
ribZ_1,1365
slyA_2,417
spoIIID,282
mbl,1002
flgG_2,825
group_7470,144
ywqD,696
ywqE,771
ywqF,1317
group_3204,240
chrA,537
group_5557,477
ywrD,1578
group_7473,417
ulaA,1263
ulaB,267
cotH_1,1092
benM,897
alsS,1716
ywrO,528
ywsB,537
rbsB,918
rbsC,966
rbsA,1482
ccpA_1,981
yndE_1,1092
capB,1182
capA,1149
gerBB,1125
gerBA_2,1452
group_7483,660
tuaC,1206
tuaD_1,1392
tuaE,1470
tuaF,681
tuaG,759
tagV,1257
yigZ,654
degV,843
group_1751,387
group_8841,261
yvyG,483
fliW,432
yvyC,339
cccB,339
ftsE,687
ftsX,900
group_7486,336
csbA,231
uvrA,2874
group_14352,252
group_4729,1095
cpdA,3900
nagR_1,732
nagA,1188
hprK,933
lgt,810
group_8845,939
ppaX_1,654
group_4732,717
hisZ,1176
hisG,642
hisD,1284
hisB,585
hisH,639
priA_1,738
hisF,759
hisI,627
bmrA,1770
trxB,951
mutX,468
yxdL_2,780
csh,585
dauA,1611
yvdD,576
inhA,609
clpP_1,597
gdx_1,315
gdx_2,336
yvdT,585
yveL,681
pglF,1797
epsD,1140
epsG,1104
epsH,1038
epsI,1071
epsJ,1029
epsK,1518
epsL,609
epsM,639
rpoN,1311
lutP,1689
lutA_1,717
lutB,1446
yvbW,1344
gapA,1008
group_14353,234
