gene_name,avg_mismatch,ecotype_size
cshA,4.28457371,6
purA,7.151696607,6
group_5129,9.912603365,5
group_2652,1.212075848,5
cotI,2.640718563,5
epsH,4.894924437,5
group_6805,0.994154548,6
yxaF_1,2.439478186,9
dacF,2.859210151,5
comK,3.736241802,9
gcvPA,1.843598517,12
ribZ_1,5.962360992,5
gucD,7.155474765,5
COQ5_2,2.80560308,9
sfp,1.498859424,12
cah,6.187838608,5
yfiY,4.687054463,6
walR_1,3.385158255,6
map,0.243512974,9
ilvB,6.299472484,5
ilvC,1.01603935,5
yhhS,4.514043342,6
btsS,8.337824351,5
fabF,3.360279441,5
aspC,4.899201597,5
group_4197,4.290704306,5
bfmBAB,2.810307956,6
yclP,2.957869974,9
group_5316,2.990946678,5
lytH,1.249358426,9
ypjQ_2,1.898417451,9
rmlA,1.394069005,6
lrp,3.611562589,6
group_6838,0.495295124,9
lnrK_2,2.489235814,9
mntH_1,6.003493014,6
sucD,3.088465925,5
ydaD_1,11.20095523,9
qdoI,6.724550898,5
sppA,2.946036498,9
bepA,2.44903051,9
flgG_2,3.854362703,6
catE,4.144282863,6
glpQ_3,1.463572854,9
ephA,3.254776162,6
cshB,1.602366695,6
fecD,0.817080125,9
group_8432,0.72469347,9
lutA_1,1.55631594,9
sigH,1.03457371,9
bsn,4.137082977,5
speB,8.503706872,5
scrB,3.621899059,6
glcR,5.908967779,5
gcvPB,2.485315084,6
pta_1,1.307313944,6
amj,1.257770174,6
ecfT,2.24037639,6
group_5937,4.224836042,9
group_12191,2.709153122,5
rplE,0.773952096,9
cypX,3.172369547,9
resA_1,0.586398631,12
bmrA,12.34552324,6
tadA_1,1.834046193,9
group_6218,2.561733676,9
citM,2.037710294,6
group_8553,2.719418306,9
cysB,1.340319361,5
panB,1.399486741,6
rplD,0.174151697,6
walR_3,1.567293983,5
yfkD,1.355717137,5
ylmB_2,4.121114913,6
der_1,3.770530368,6
mneP,2.659395495,6
bfmBAA,2.27744511,5
group_4779,3.387082977,6
ravA,4.511690904,1
malP,8.823353293,5
malG,5.172084403,6
epsJ,4.854790419,5
group_4786,3.377459367,9
arcA,11.00541774,6
ytrB_1,3.429070431,6
ydaD_2,2.23645566,6
pbpF,10.67899914,5
udk,3.175078415,12
znuB,2.017037354,6
opuAB,1.828058169,6
prmC,2.644995723,9
bglF_2,47.41124893,5
garD,3.268249216,5
qcrB,0.362275449,12
epsN,6.499928714,5
group_4796,3.419660679,5
uxuB,2.974051896,6
kipR,2.357285429,9
gltP_2,2.568149415,5
dusB,2.325491873,9
ahpC_2,0.616980325,6
group_2293,2.177359567,6
folE,0.750855432,6
COQ5_4,2.551611064,9
group_6988,10.0116909,9
spo0B,0.387225549,9
grpE,1.661534075,5
kduD,3.310521814,9
group_5932,1.308668378,9
rbsK,3.154405475,6
scmP_2,5.246364414,6
oxyR,11.39185914,6
tsaD,11.15141146,1
yqgN,2.637938409,9
ssbA,0.572141431,9
group_6209,2.606643855,9
cysP,3.451240376,5
mbl,1.495580268,5
yedY1,4.395851155,9
group_5927,1.646421443,5
fabG_1,2.420872541,9
bofC,1.167379527,9
yteP_1,14.91887653,5
recA,1.52174223,12
ydjP,3.636583975,9
misCA,0.977331052,9
mta,3.153906473,9
mmuM,2.425862561,6
group_7249,1.413815227,5
rspR_1,2.157613345,6
group_7261,3.017750214,6
lipM,0.966566866,9
cheV,5.605645851,6
tepA,1.139720559,9
rl5,3.841317365,6
opuAC,4.561448532,9
znuC,1.801753636,9
racE,0.997647562,9
yxdL_1,10.0565298,5
aroP,2.194895922,12
purQ,0.76960365,6
purF,3.655831195,6
bioY_1,10.62788708,12
lutC,2.830767037,9
purD,15.54612204,6
group_5138,4.370829769,6
group_3944,1.952309666,6
rspR_3,1.260550328,9
glcT,1.349087539,9
msmX_1,5.561377246,9
group_6948,2.249928714,6
ahpC_1,0.5463359,9
kdsB_1,7.99251497,6
ytbE,1.818648417,5
group_6753,0.199600798,9
rplC,0.826062161,9
group_5919,5.834901625,5
yfkC,2.027658968,6
yhfK,1.885585971,9
group_5925,2.633875107,5
melD,4.158825207,6
group_5064,9.182349587,5
group_5716,1.814656401,9
cysE,0.948103792,9
mraY,3.94154548,6
feuB_2,4.776233248,5
fdhD,2.035643,9
rplB,0.51568292,5
bceA,4.634587967,6
folP,2.204234388,6
clpP,0.566937553,9
ycnJ,4.197533504,6
acuA,2.745651554,6
rmlD,2.488095238,16
speE,10.87097234,5
epsL,3.433062447,9
egsA,1.415668663,5
lgt,1.670516111,6
alkH,6.350014257,5
glpQ_4,3.506130596,5
rssB,9.321713715,6
prsW,0.54740519,6
putB,1.637082977,6
licH,7.482748788,5
yycJ,5.526874822,5
trmB,1.729754776,9
carE,1.676575421,6
rho,2.121114913,5
ftsW_3,0.98502994,5
group_4081,1.998502994,6
ctpB,2.986669518,5
cheB_1,5.010407756,6
oppD_3,12.5402053,9
btuF,3.450527516,6
queC,0.547690334,9
glpD,10.10258055,5
disA,3.093242087,9
mdh,0.864271457,5
oppF_1,2.664314229,5
group_8527,1.03599943,9
pdxK,2.073709723,6
vraR,6.856715141,6
soj,2.078628457,9
amiF,2.588252067,5
xpt,2.97219846,9
nusG,0.657542059,9
gpmI,4.132235529,5
group_2793,3.704590818,9
pdhD_2,2.20116909,9
oppD_2,3.884730539,5
ydaE,15.76603935,9
exuT,5.235814086,6
fadR,0.550470488,9
ycgT,8.669803251,9
dnaC,1.899415455,5
mutY,2.197390932,5
iscS_2,2.329840319,9
desR_1,1.49001996,9
trxB,3.871899059,6
group_6132,2.45259481,6
rph,1.160607357,12
des_1,8.453165098,9
hutU,10.86127745,9
ccpN,1.092529227,9
group_7012,2.291773596,9
rfbB,3.238166524,6
ftsW_2,7.373752495,9
gutB_1,6.784502424,5
ispD,1.512688908,9
rhaA,4.822854291,6
albA,5.036854862,6
albC,1.921442829,6
yycI,1.791417166,9
hisB,2.122469347,9
secY,1.509124608,6
psd,9.594453949,9
mdtG,1.217707442,1
ktrB_1,1.811876248,6
rsbX,0.872398061,9
group_4848,1.877887083,6
group_6087,4.551539778,9
cidB,2.981536926,9
rpsD,0.485528942,9
atpD,3.02744511,9
ydaP,10.74009125,6
ybiT_2,4.01176219,5
iolG_1,3.683989165,5
yviE,2.320430567,9
apt,0.849016253,9
group_2020,10.64570858,6
glpG,1.487667522,6
rapG_1,13.30310807,6
oppF_2,1.386726547,5
prsA2,4.820715711,6
lacR_2,2.109851725,5
iolE_2,11.64314229,9
yvdT,1.350869689,9
ycsE,1.262189906,6
yajR,10.58418877,6
tdh,7.346378671,5
rpsE,0.023453094,9
mutM,2.297619048,6
iscS_1,4.543199316,9
lcfB_1,3.131166239,1
queE_1,4.934559453,5
dltA_1,24.68912176,6
ecfA1,1.012261192,6
group_3934,1.455517536,12
vmlR,8.942899914,6
group_8336,3.433561449,9
gutB_2,1.171228971,5
argJ,4.352010265,6
group_8478,20.86491303,5
pgdS,3.697747362,6
yycH,4.609780439,5
gamA,2.506130596,5
bglC_1,7.447034502,1
tenA,1.430781295,9
