new_ecotype_1,rate_gap,rate,mismatch_num,with_gap_mis,new_ecotype_2,rate_gap,rate,mismatch_num,with_gap_mis,new_ecotype_3,rate_gap,rate,mismatch_num,with_gap_mis,new_ecotype_4,rate_gap,rate,mismatch_num,with_gap_mis,new_ecotype_5,rate_gap,rate,mismatch_num,with_gap_mis
S18B2,0.1594488188976378,0.002952755905511811,3,159,S18B2,0.1594488188976378,0.002952755905511811,3,159,S18B2,0.18405511811023623,0.027559055118110236,28,159,S18B2,0.16043307086614172,0.003937007874015748,4,159,S18B2,0.15649606299212598,0.0,0,159
S12b2,0.18503937007874016,0.002952755905511811,3,185,S12b2,0.18503937007874016,0.002952755905511811,3,185,S12b2,0.20964566929133857,0.027559055118110236,28,185,S12b2,0.1860236220472441,0.003937007874015748,4,185,S12b2,0.18208661417322836,0.0,0,185
101x1,0.18503937007874016,0.002952755905511811,3,185,101x1,0.18503937007874016,0.002952755905511811,3,185,101x1,0.20964566929133857,0.027559055118110236,28,185,101x1,0.1860236220472441,0.003937007874015748,4,185,101x1,0.18208661417322836,0.0,0,185
21b6,0.18503937007874016,0.002952755905511811,3,185,21b6,0.18503937007874016,0.002952755905511811,3,185,21b6,0.20964566929133857,0.027559055118110236,28,185,21b6,0.1860236220472441,0.003937007874015748,4,185,21b6,0.18208661417322836,0.0,0,185
22a2,0.18503937007874016,0.002952755905511811,3,185,22a2,0.18503937007874016,0.002952755905511811,3,185,22a2,0.20964566929133857,0.027559055118110236,28,185,22a2,0.1860236220472441,0.003937007874015748,4,185,22a2,0.18208661417322836,0.0,0,185
19b1,0.18503937007874016,0.002952755905511811,3,185,19b1,0.18503937007874016,0.002952755905511811,3,185,19b1,0.20964566929133857,0.027559055118110236,28,185,19b1,0.1860236220472441,0.003937007874015748,4,185,19b1,0.18208661417322836,0.0,0,185
93x1,0.18503937007874016,0.002952755905511811,3,185,93x1,0.18503937007874016,0.002952755905511811,3,185,93x1,0.20964566929133857,0.027559055118110236,28,185,93x1,0.1860236220472441,0.003937007874015748,4,185,93x1,0.18208661417322836,0.0,0,185
96x11,0.18503937007874016,0.002952755905511811,3,185,96x11,0.18503937007874016,0.002952755905511811,3,185,96x11,0.20964566929133857,0.027559055118110236,28,185,96x11,0.1860236220472441,0.003937007874015748,4,185,96x11,0.18208661417322836,0.0,0,185
N4C6,0.18503937007874016,0.002952755905511811,3,185,N4C6,0.18503937007874016,0.002952755905511811,3,185,N4C6,0.20964566929133857,0.027559055118110236,28,185,N4C6,0.1860236220472441,0.003937007874015748,4,185,N4C6,0.18208661417322836,0.0,0,185
S18c11,0.18503937007874016,0.002952755905511811,3,185,S18c11,0.18503937007874016,0.002952755905511811,3,185,S18c11,0.20964566929133857,0.027559055118110236,28,185,S18c11,0.1860236220472441,0.003937007874015748,4,185,S18c11,0.18208661417322836,0.0,0,185
S9B2,0.18503937007874016,0.002952755905511811,3,185,S9B2,0.18503937007874016,0.002952755905511811,3,185,S9B2,0.20964566929133857,0.027559055118110236,28,185,S9B2,0.1860236220472441,0.003937007874015748,4,185,S9B2,0.18208661417322836,0.0,0,185
M20B3,0.18503937007874016,0.002952755905511811,3,185,M20B3,0.18503937007874016,0.002952755905511811,3,185,M20B3,0.20964566929133857,0.027559055118110236,28,185,M20B3,0.1860236220472441,0.003937007874015748,4,185,M20B3,0.18208661417322836,0.0,0,185
S19B1,0.18503937007874016,0.002952755905511811,3,185,S19B1,0.18503937007874016,0.002952755905511811,3,185,S19B1,0.20964566929133857,0.027559055118110236,28,185,S19B1,0.1860236220472441,0.003937007874015748,4,185,S19B1,0.18208661417322836,0.0,0,185
19b3a,0.18503937007874016,0.002952755905511811,3,185,19b3a,0.18503937007874016,0.002952755905511811,3,185,19b3a,0.20964566929133857,0.027559055118110236,28,185,19b3a,0.1860236220472441,0.003937007874015748,4,185,19b3a,0.18208661417322836,0.0,0,185
96x11(2),0.18503937007874016,0.002952755905511811,3,185,96x11(2),0.18503937007874016,0.002952755905511811,3,185,96x11(2),0.20964566929133857,0.027559055118110236,28,185,96x11(2),0.1860236220472441,0.003937007874015748,4,185,96x11(2),0.18208661417322836,0.0,0,185
N4C6(2),0.18503937007874016,0.002952755905511811,3,185,N4C6(2),0.18503937007874016,0.002952755905511811,3,185,N4C6(2),0.20964566929133857,0.027559055118110236,28,185,N4C6(2),0.1860236220472441,0.003937007874015748,4,185,N4C6(2),0.18208661417322836,0.0,0,185
S18c11(2),0.18503937007874016,0.002952755905511811,3,185,S18c11(2),0.18503937007874016,0.002952755905511811,3,185,S18c11(2),0.20964566929133857,0.027559055118110236,28,185,S18c11(2),0.1860236220472441,0.003937007874015748,4,185,S18c11(2),0.18208661417322836,0.0,0,185
S9B2(2),0.18503937007874016,0.002952755905511811,3,185,S9B2(2),0.18503937007874016,0.002952755905511811,3,185,S9B2(2),0.20964566929133857,0.027559055118110236,28,185,S9B2(2),0.1860236220472441,0.003937007874015748,4,185,S9B2(2),0.18208661417322836,0.0,0,185
M20B3(2),0.18503937007874016,0.002952755905511811,3,185,M20B3(2),0.18503937007874016,0.002952755905511811,3,185,M20B3(2),0.20964566929133857,0.027559055118110236,28,185,M20B3(2),0.1860236220472441,0.003937007874015748,4,185,M20B3(2),0.18208661417322836,0.0,0,185
S19B1(2),0.18503937007874016,0.002952755905511811,3,185,S19B1(2),0.18503937007874016,0.002952755905511811,3,185,S19B1(2),0.20964566929133857,0.027559055118110236,28,185,S19B1(2),0.1860236220472441,0.003937007874015748,4,185,S19B1(2),0.18208661417322836,0.0,0,185
19b3a(2),0.18503937007874016,0.002952755905511811,3,185,19b3a(2),0.18503937007874016,0.002952755905511811,3,185,19b3a(2),0.20964566929133857,0.027559055118110236,28,185,19b3a(2),0.1860236220472441,0.003937007874015748,4,185,19b3a(2),0.18208661417322836,0.0,0,185
98x10,0.18405511811023623,0.001968503937007874,2,185,98x10,0.18405511811023623,0.001968503937007874,2,185,98x10,0.20866141732283464,0.0265748031496063,27,185,98x10,0.18503937007874016,0.002952755905511811,3,185,98x10,0.1830708661417323,0.000984251968503937,1,185
S14C1xII,0.18405511811023623,0.001968503937007874,2,185,S14C1xII,0.18405511811023623,0.001968503937007874,2,185,S14C1xII,0.20866141732283464,0.0265748031496063,27,185,S14C1xII,0.18503937007874016,0.002952755905511811,3,185,S14C1xII,0.1830708661417323,0.000984251968503937,1,185
98x10(2),0.18405511811023623,0.001968503937007874,2,185,98x10(2),0.18405511811023623,0.001968503937007874,2,185,98x10(2),0.20866141732283464,0.0265748031496063,27,185,98x10(2),0.18503937007874016,0.002952755905511811,3,185,98x10(2),0.1830708661417323,0.000984251968503937,1,185
S14C1xII(2),0.18405511811023623,0.001968503937007874,2,185,S14C1xII(2),0.18405511811023623,0.001968503937007874,2,185,S14C1xII(2),0.20866141732283464,0.0265748031496063,27,185,S14C1xII(2),0.18503937007874016,0.002952755905511811,3,185,S14C1xII(2),0.1830708661417323,0.000984251968503937,1,185
M13C9,0.18405511811023623,0.001968503937007874,2,185,M13C9,0.18405511811023623,0.001968503937007874,2,185,M13C9,0.20866141732283464,0.0265748031496063,27,185,M13C9,0.18503937007874016,0.002952755905511811,3,185,M13C9,0.1830708661417323,0.000984251968503937,1,185
M13C9(2),0.18405511811023623,0.001968503937007874,2,185,M13C9(2),0.18405511811023623,0.001968503937007874,2,185,M13C9(2),0.20866141732283464,0.0265748031496063,27,185,M13C9(2),0.18503937007874016,0.002952755905511811,3,185,M13C9(2),0.1830708661417323,0.000984251968503937,1,185
S20B4,0.18405511811023623,0.001968503937007874,2,185,S20B4,0.18405511811023623,0.001968503937007874,2,185,S20B4,0.20866141732283464,0.0265748031496063,27,185,S20B4,0.18503937007874016,0.002952755905511811,3,185,S20B4,0.1830708661417323,0.000984251968503937,1,185
S10c5,0.18405511811023623,0.001968503937007874,2,185,S10c5,0.18208661417322836,0.0,0,185,S10c5,0.2076771653543307,0.025590551181102362,26,185,S10c5,0.1830708661417323,0.000984251968503937,1,185,S10c5,0.18503937007874016,0.002952755905511811,3,185
98x2,0.1830708661417323,0.000984251968503937,1,185,98x2,0.1830708661417323,0.000984251968503937,1,185,98x2,0.20866141732283464,0.0265748031496063,27,185,98x2,0.18405511811023623,0.001968503937007874,2,185,98x2,0.1860236220472441,0.003937007874015748,4,185
98x2(2),0.1830708661417323,0.000984251968503937,1,185,98x2(2),0.1830708661417323,0.000984251968503937,1,185,98x2(2),0.20866141732283464,0.0265748031496063,27,185,98x2(2),0.18405511811023623,0.001968503937007874,2,185,98x2(2),0.1860236220472441,0.003937007874015748,4,185
101x2,0.1860236220472441,0.002952755905511811,3,186,101x2,0.1860236220472441,0.002952755905511811,3,186,101x2,0.20964566929133857,0.0265748031496063,27,186,101x2,0.18700787401574803,0.003937007874015748,4,186,101x2,0.1830708661417323,0.0,0,186
S20C6,0.1860236220472441,0.002952755905511811,3,186,S20C6,0.1860236220472441,0.002952755905511811,3,186,S20C6,0.20964566929133857,0.0265748031496063,27,186,S20C6,0.18700787401574803,0.003937007874015748,4,186,S20C6,0.1830708661417323,0.0,0,186
S20C6(2),0.1860236220472441,0.002952755905511811,3,186,S20C6(2),0.1860236220472441,0.002952755905511811,3,186,S20C6(2),0.20964566929133857,0.0265748031496063,27,186,S20C6(2),0.18700787401574803,0.003937007874015748,4,186,S20C6(2),0.1830708661417323,0.0,0,186
N17A9,0.1860236220472441,0.002952755905511811,3,186,N17A9,0.1860236220472441,0.002952755905511811,3,186,N17A9,0.20964566929133857,0.0265748031496063,27,186,N17A9,0.18700787401574803,0.003937007874015748,4,186,N17A9,0.1830708661417323,0.0,0,186
M13B10,0.1860236220472441,0.002952755905511811,3,186,M13B10,0.1860236220472441,0.002952755905511811,3,186,M13B10,0.20964566929133857,0.0265748031496063,27,186,M13B10,0.18700787401574803,0.003937007874015748,4,186,M13B10,0.1830708661417323,0.0,0,186
T14C6,0.1860236220472441,0.002952755905511811,3,186,T14C6,0.1860236220472441,0.002952755905511811,3,186,T14C6,0.20964566929133857,0.0265748031496063,27,186,T14C6,0.18700787401574803,0.003937007874015748,4,186,T14C6,0.1830708661417323,0.0,0,186
N20B2,0.1860236220472441,0.002952755905511811,3,186,N20B2,0.1860236220472441,0.002952755905511811,3,186,N20B2,0.20964566929133857,0.0265748031496063,27,186,N20B2,0.18700787401574803,0.003937007874015748,4,186,N20B2,0.1830708661417323,0.0,0,186
